Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Fetched_At
2025-06-10 09:30:00-04:00,200.60000610351562,203.35690307617188,200.57000732421875,202.8699951171875,13200692,0.0,0.0,2025-06-19 10:56:46
2025-06-10 10:30:00-04:00,202.86000061035156,204.35000610351562,202.72999572753906,203.31500244140625,6624997,0.0,0.0,2025-06-19 10:56:46
2025-06-10 11:30:00-04:00,203.32000732421875,203.32000732421875,202.3000946044922,202.53880310058594,4294134,0.0,0.0,2025-06-19 10:56:46
2025-06-10 12:30:00-04:00,202.52999877929688,202.76300048828125,201.75,201.75999450683594,4163222,0.0,0.0,2025-06-19 10:56:46
2025-06-10 13:30:00-04:00,201.77499389648438,202.10000610351562,201.30999755859375,201.6999969482422,5126577,0.0,0.0,2025-06-19 10:56:46
2025-06-10 14:30:00-04:00,201.69000244140625,203.22500610351562,201.60000610351562,202.82000732421875,4955808,0.0,0.0,2025-06-19 10:56:46
2025-06-10 15:30:00-04:00,202.82110595703125,202.97500610351562,202.3300018310547,202.75,4081286,0.0,0.0,2025-06-19 10:56:46
2025-06-11 09:30:00-04:00,203.47000122070312,204.5,202.3300018310547,202.76010131835938,10386969,0.0,0.0,2025-06-19 10:56:46
2025-06-11 10:30:00-04:00,202.75999450683594,202.77000427246094,200.91000366210938,200.94000244140625,7233304,0.0,0.0,2025-06-19 10:56:46
2025-06-11 11:30:00-04:00,200.89500427246094,201.1699981689453,199.65960693359375,200.2071075439453,10232286,0.0,0.0,2025-06-19 10:56:46
2025-06-11 12:30:00-04:00,200.19070434570312,201.2364959716797,200.18499755859375,200.91000366210938,5829259,0.0,0.0,2025-06-19 10:56:46
2025-06-11 13:30:00-04:00,200.90499877929688,200.98500061035156,198.7100067138672,199.23919677734375,6328313,0.0,0.0,2025-06-19 10:56:46
2025-06-11 14:30:00-04:00,199.22000122070312,199.60000610351562,198.6199951171875,198.97999572753906,6509313,0.0,0.0,2025-06-19 10:56:46
2025-06-11 15:30:00-04:00,198.9499969482422,199.125,198.41000366210938,198.85000610351562,6085149,0.0,0.0,2025-06-19 10:56:46
2025-06-12 09:30:00-04:00,199.0800018310547,199.38999938964844,197.360107421875,198.0666961669922,10588317,0.0,0.0,2025-06-19 10:56:46
2025-06-12 10:30:00-04:00,198.0800018310547,198.9250030517578,197.86270141601562,198.14999389648438,5324558,0.0,0.0,2025-06-19 10:56:46
2025-06-12 11:30:00-04:00,198.13369750976562,198.63999938964844,197.7550048828125,198.58999633789062,3767271,0.0,0.0,2025-06-19 10:56:46
2025-06-12 12:30:00-04:00,198.5800018310547,199.44000244140625,198.2100067138672,199.25999450683594,4180542,0.0,0.0,2025-06-19 10:56:46
2025-06-12 13:30:00-04:00,199.25999450683594,199.67990112304688,198.6696014404297,198.75,3327745,0.0,0.0,2025-06-19 10:56:46
2025-06-12 14:30:00-04:00,198.75999450683594,199.0500030517578,198.5449981689453,198.88499450683594,3064478,0.0,0.0,2025-06-19 10:56:46
2025-06-12 15:30:00-04:00,198.8800048828125,199.1999969482422,198.39999389648438,199.1999969482422,3810648,0.0,0.0,2025-06-19 10:56:46
2025-06-13 09:30:00-04:00,199.50999450683594,200.3699951171875,195.91000366210938,196.15499877929688,14838318,0.0,0.0,2025-06-19 10:56:46
2025-06-13 10:30:00-04:00,196.13999938964844,197.63999938964844,195.97999572753906,197.50999450683594,5870070,0.0,0.0,2025-06-19 10:56:46
2025-06-13 11:30:00-04:00,197.52000427246094,198.04750061035156,197.2100067138672,197.27000427246094,4078021,0.0,0.0,2025-06-19 10:56:46
